MatchId,MatchDuration,MatchVersion,BluePick1,BluePick2,BluePick3,BluePick4,BluePick5,RedPick1,RedPick2,RedPick3,RedPick4,RedPick5,BlueBan1,BlueBan2,BlueBan3,RedBan1,RedBan2,RedBan3,RedWinner
1847970533,1873,5.10.0.330,79,67,39,412,20,30,429,107,76,13,120,113,23,7,245,268,1
1919011558,1213,5.15.0.336,412,76,245,103,133,30,67,81,27,143,28,60,134,105,10,112,0
1867369195,1215,5.12.0.341,105,79,96,15,111,40,61,67,157,23,429,245,432,268,421,13,1
1813891823,1797,5.8.0.461,157,34,412,22,62,36,31,15,76,53,113,120,421,7,79,20,1
1722927860,1270,5.2.0.200,89,104,76,107,1,127,91,222,16,106,40,7,59,268,103,429,0
1776929530,1653,5.6.0.190,103,412,122,42,64,120,131,79,104,16,421,76,39,113,105,55,0
1752287996,2118,5.4.0.241,105,8,40,57,236,113,429,1,122,31,14,421,254,76,7,127,0
1830931200,1756,5.9.0.318,31,222,106,150,16,76,22,57,254,53,113,79,25,20,120,421,0
1882573571,3076,5.13.0.329,154,42,268,76,201,40,67,85,79,110,28,421,429,223,81,13,1
1770638087,1364,5.5.0.273,80,63,154,42,7,421,51,59,43,412,113,39,55,76,15,35,0
1782696715,1694,5.6.0.194,68,429,412,60,7,76,12,104,105,64,113,92,,120,55,112,0
1744947980,1746,5.4.0.241,58,104,107,131,25,86,30,53,51,64,76,429,14,127,254,39,1
1825164045,2037,5.9.0.318,35,22,150,412,268,7,74,96,2,44,39,122,20,79,113,421,1
1801833231,1576,5.7.0.284,254,134,85,8,429,67,76,40,13,238,1,39,113,421,77,79,0
1898553816,2059,5.14.0.329,105,40,42,107,61,15,245,64,103,111,92,98,60,429,76,16,1
1878379284,1788,5.12.0.348,42,157,412,76,62,120,104,40,61,5,28,245,421,429,81,13,1
1749404440,2162,5.4.0.241,412,61,58,64,222,104,201,121,34,150,76,254,429,53,39,40,1
1755695897,1962,5.4.0.241,127,67,31,25,83,89,86,38,254,104,120,39,59,421,40,117,0
1712442138,2227,5.2.0.193,161,117,40,18,64,127,92,81,9,412,84,39,16,59,268,421,1
1893321501,2308,5.13.0.335,222,110,105,10,40,1,23,103,107,104,102,76,81,79,11,223,1
1814614328,1242,5.8.0.461,25,412,9,429,33,268,68,14,15,40,39,55,79,120,113,20,1
1745734434,1701,5.4.0.241,107,103,39,12,29,59,51,412,14,238,7,64,76,92,429,38,0
1854786340,1957,5.11.0.276,56,39,40,112,119,222,103,64,92,25,245,120,13,113,79,412,1
1837081052,1745,5.9.0.318,54,55,89,27,22,98,238,81,53,33,8,92,421,120,79,113,0
1747569451,1856,5.4.0.241,117,64,67,25,23,39,89,69,104,54,127,59,429,105,254,7,1
1725287212,1934,5.2.0.200,51,7,59,40,92,68,103,53,104,60,9,1,127,429,76,38,0
1841154862,2081,5.10.0.330,4,83,113,429,412,76,161,38,58,104,79,91,7,421,120,68,0
1707199281,1776,5.1.0.427,12,75,67,69,64,92,59,412,55,15,268,238,150,84,40,421,1
1769065275,2327,5.5.0.273,106,127,53,101,222,17,20,104,201,74,39,7,113,55,120,85,1
1852427070,1780,5.11.0.270,245,81,412,39,72,40,222,42,56,131,421,120,13,68,429,79,1
1883884352,1213,5.13.0.329,112,77,98,69,18,13,102,134,429,63,81,107,79,35,121,421,1
1811794754,1232,5.8.0.461,79,429,412,157,6,121,150,81,25,101,120,68,7,113,20,107,0
1752288068,1966,5.4.0.241,7,236,267,126,9,134,64,41,25,51,76,55,127,39,254,105,1
1899088711,1969,5.14.0.329,83,67,223,268,154,112,81,41,25,60,12,64,76,96,98,13,1
1880214345,1808,5.12.0.348,120,91,15,53,19,76,45,85,98,18,421,1,81,92,79,13,0
1721355082,2577,5.2.0.200,222,64,150,81,16,39,15,111,40,8,421,55,59,127,103,429,0
1826551607,2605,5.9.0.318,59,40,236,4,57,8,238,64,67,267,7,268,120,79,113,39,0
1736821582,2296,5.3.0.291,35,58,1,53,81,24,64,104,101,412,40,38,150,59,39,127,0
1716407437,2164,5.2.0.200,238,412,64,15,76,113,92,40,236,117,127,150,38,268,429,103,1
1754123089,1033,5.4.0.241,68,69,222,20,25,53,236,101,92,121,7,254,127,120,39,76,0
1790561107,1689,5.7.0.275,104,37,127,69,421,131,51,111,267,126,92,120,7,113,79,14,0
1855834965,1869,5.11.0.276,421,412,98,96,222,113,68,236,40,39,120,429,13,245,79,83,0
1854863161,2556,5.11.0.276,412,90,79,81,57,102,432,74,42,96,1,245,113,150,120,429,1
1807076184,1760,5.7.0.284,412,104,20,68,238,39,96,107,222,55,76,113,25,120,7,79,0
1717422939,1985,5.2.0.200,75,254,222,1,103,268,15,89,412,120,421,40,7,76,38,59,1
1916390246,1522,5.15.0.336,17,64,18,12,61,421,131,111,104,57,1,67,39,60,105,16,1
1863175018,2217,5.11.0.279,92,105,12,222,20,157,4,79,432,15,245,28,429,421,13,39,1
1855834987,2014,5.11.0.276,15,143,238,64,53,76,57,7,429,12,120,421,13,79,245,107,0
